Individual;Melting Point (degrees C);Density (kg/m cubed);Price (Pounds Sterling per 100g);Discovery Date;Size of Atom (pm) # https://ultimate-top-trumps.co.uk/england/winning_moves/2014/elements.html
Aluminium;660;2698;2.6;1825;368
Arsenic;817;5780;1100;1250;370
Boron;2077;2340;150;1808;384
Bromine;-7;3122;2.6;1826;370
Cadmium;321;8650;24;1817;436
Caesium;29;1873;3400;1860;686
Calcium;842;1550;20;1808;462
Carbon;4489;2260;1.2;-30000;340
Chlorine;-102;2.9;18;1774;350
Copper;1085;8960;4.7;-9000;392
Europium;822;5243;15000;1901;470
Fluorine;-220;1.6;99;1886;294
Gold;1064;19320;8600;-3000;428;Au
Helium;-271;0.2;48;1895;280
Hydrogen;-259;0.1;68;1766;220
Iron;1538;7874;1.9;-2500;408
Lead;327;11350;2.6;-1000;404
Lithium;181;534;110;1817;364
Magnesium;650;1738;3.3;1755;346
Mercury;-39;13546;11;-1500;446
Neon;-249;0.8;140;1898;308
Nitrogen;-210;1.1;13;1772;310
Osmium;3033;22590;16000;1803;432
Oxygen;-219;1.3;7.6;1774;304
Phosphorus;579;2200;5.3;1669;360
Potassium;64;862;190;1807;550
Silicon;1414;2329;16;1824;420
Silver;962;10500;310;-3000;422
Sodium;98;971;7;1807;454
Sulfur;115;2070;1.3;-2000;360
