Individual;Influence;Shock of the new effect;Versatility;Top auction price (million $);Critical Reception;The beautiful factor # https://ultimate-top-trumps.co.uk/england/miscellaneous/the%20art_game.html
Ai Weiwei;56;60;67;0.782;75;58
Aleksandr Rodchenko;87;96;85;0.515;69;58
Andreas Gursky;42;45;29;4.3;56;65
Andy Warhol;94;72;81;71.7;77;56
Banksy;18;55;13;1.9;33;4
Bruce Nauman;76;69;83;9.9;85;44
Christo and Jeanne-Claude;38;74;40;0.564;65;62
Cindy Sherman;54;69;65;3.9;60;59
Damien Hirst;69;78;70;19.2;52;66
David Hockney;42;35;28;7.9;56;79
Edward Hopper;28;21;20;24;62;70
Francis Bacon;76;77;31;86.3;90;25
Frida Kahlo;22;26;35;5;44;50
Gerhard Richter;83;70;75;37.1;89;71
Henri Matisse;76;69;61;44.8;77;80
Jackson Pollock;55;86;57;58.4;76;63
Jean-Michel Basquiat;54;77;31;48.8;69;40
Jeff Koons;70;74;63;33.7;71;47
Joseph Beuys;73;74;66;0.939;68;41
Louise Bourgeois;78;60;76;10.7;70;73
Lucian Freud;36;18;16;33.6;84;46
Marc Chagall;65;68;32;13;49;90
Marcel Duchamp;98;99;80;11.4;91;29
Marina Abramovic;54;86;70;0.362;83;27
Mark Rothko;50;64;25;86.9;79;91
Maurizio Cattelan;48;56;38;7.9;47;12
Pablo Picasso;88;91;82;106.5;79;40
Piet Mondrian;24;78;23;27.5;55;57
Rene Magritte;50;63;18;11.5;64;52
Robert Rauschenberg;85;70;72;14.6;83;24
Salvador Dali;61;69;47;21.6;44;63
Takashi Murakami;50;60;58;15.1;47;39
