Top Moment;Humor;Nerd Factor;Friendship;Intelligence;Bazinga # https://ultimate-top-trumps.co.uk/england/winning_moves/2014/the_big_bang_theory.html
Oh, It's a Tiara!;8;11;27;38;41
Sheldon Cooper Presents: Fun with Flags;7;20;11;43;70
Sheldon Cooper's Council of Ladies;9;18;26;32;97
The Allergic Reaction Gamble;7;13;30;21;55
The Artificial Shelbot Proxy Beta Test;8;19;23;46;89
The Awkward Hug Gesture;9;16;30;32;48
The Bazinga Equation;9;19;22;46;100
The Behaviour Modification Process;9;11;23;31;100
The Besties Painting Dilemma;6;14;28;21;17
The Cooper Identity Reappropriation Scheme;10;19;28;30;90
The Efficiency Machine;4;5;29;45;20
The Facial Pi Implantation;9;13;17;33;91
The Hairy Complex;9;12;25;32;88
The Infectious Ward Romantic Gesture;8;18;30;45;58
The Itchy Sweater Revenge;7;15;10;33;91
The Koothrappali Conversation Nexus;9;16;28;39;86
The Miniature Wolowitz/Koothrappali Replication;7;20;15;13;77
The Mystery Letter Conundrum;3;16;28;17;34
The Revenge Prank Implementation;9;20;15;47;100
The Satellite Nuptial Observation;8;16;30;45;64
The Shamy Kiss;6;20;11;43;89
The Soft Kitty Pacification Ritual;4;8;11;19;64
The Spontaneous Proposal Verification;7;12;27;48;44
The Thanksgiving Nuptial Revelations;8;2;24;6;89
The Three Word Admission;3;7;25;43;17
The Ultimate Geology Sacrifice;10;18;30;35;16
The Vehicular Space Altercation;9;14;20;12;100
The Virtual Osculation Device;6;18;25;44;79
The Wheaton Prevarication Ploy;7;19;12;44;78
The Wolowitz Manoeuver;5;16;22;33;84
